ISIN,NSE_SYMBOL,BSE_CODE,NAME,INDUSTRY GROUP,INDUSTRY
INE438A01022,APOLLOTYRE,500877.0,Apollo Tyres,Auto Components,Tyres & Rubber Products
INE0J5801029,JSLL,nan,Jeena Sikho,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE016Q01014,CEINSYS,nan,Ceinsys Tech,IT - Software,Computers - Software & Consulting
INE669C01036,TECHM,nan,Tech Mahindra,IT - Software,Computers - Software & Consulting
INE854B01010,JAYNECOIND,nan,Jayaswal Neco,Industrial Products,Iron & Steel Products
INE295D01020,NACLIND,nan,NACL Industries,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INE925R01014,CMSINFO,nan,CMS Info Systems,Commercial Services & Supplies,Diversified Commercial Services
INE474E01029,BHANDARI,nan,Bhandari Hosiery,Textiles & Apparels,Other Textile Products
INE212I01016,SPAL,nan,S P Apparels,Textiles & Apparels,Garments & Apparels
INE463A01038,BERGEPAINT,nan,Berger Paints,Consumer Durables,Paints
INE749B01020,ORTINGLOBE,nan,Ortin Global,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE07K301024,ZAGGLE,nan,Zaggle Prepaid,IT - Services,IT Enabled Services
INE093I01010,OBEROIRLTY,nan,Oberoi Realty,Realty,"Residential, Commercial Projects"
INE0GK401011,TATVA,nan,Tatva Chintan,Chemicals & Petrochemicals,Specialty Chemicals
INE505C01016,PRAENG,nan,Prajay Engineers,Realty,"Residential, Commercial Projects"
INE147P01019,JPOLYINVST,nan,Jindal Poly Inve,Finance,Investment Company
INE143A01010,OSWALGREEN,nan,Oswal Green Tech,Finance,Investment Company
INE325D01025,SINDHUTRAD,nan,Sindhu Trade,Transport Services,Logistics Solution Provider
INE763I01026,TARIL,nan,T R I L,Electrical Equipment,Heavy Electrical Equipment
INE642C01025,RUBFILA,nan,Rubfila Intl.,Industrial Products,Rubber
INE816B01035,FILATEX,nan,Filatex India,Textiles & Apparels,Other Textile Products
INE985W01018,CNL,nan,Creative Newtech,Commercial Services & Supplies,Trading & Distributors
INE844K01012,BEDMUTHA,nan,Bedmutha Indus.,Industrial Products,Iron & Steel Products
INE712B01010,SUPERHOUSE,nan,Superhouse Ltd,Consumer Durables,Leather And Leather Products
INE791A01024,BLBLIMITED,nan,BLB,Finance,Investment Company
INE676A01027,BBOX,nan,Black Box,IT - Services,IT Enabled Services
INE00QT01015,SGIL,nan,Synergy Green,Industrial Products,Castings & Forgings
INE142Z01019,ORIENTELEC,nan,Orient Electric,Consumer Durables,Household Appliances
INE404A01024,ABSLAMC,nan,Aditya AMC,Capital Markets,Asset Management Company
INE729D01010,KILITCH,nan,Kilitch Drugs,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE298I01015,ARIES,nan,Aries Agro,Fertilizers & Agrochemicals,Fertilizers
INE306C01019,ENERGYDEV,nan,Energy Devl.Co.,Power,Power Generation
INE426A01027,ALEMBICLTD,nan,Alembic,Realty,"Residential, Commercial Projects"
INE742C01031,JINDRILL,nan,Jindal Drilling,Oil,Offshore Support Solution Drilling
INE666D01022,BORORENEW,nan,Borosil Renew.,Industrial Products,Glass - Industrial
INE796G01012,JINDALPHOT,nan,Jindal Photo,Finance,Investment Company
INE309M01020,PREMIERPOL,nan,Premier Polyfilm,Industrial Products,Plastic Products - Industrial
INE0JUS01029,HARSHA,nan,Harsha Engg Intl,Industrial Products,Other Industrial Products
INE887G01027,GOKEX,nan,Gokaldas Exports,Textiles & Apparels,Garments & Apparels
INE618R01015,SGFIN,nan,SG Finserve,Finance,Non Banking Financial Company (NBFC)
INE926X01010,HGINFRA,nan,H.G. Infra Engg.,Construction,Civil Construction
INE947I01017,LOTUSEYE,nan,Lotus Eye Hospit,Healthcare Services,Hospital
INE844O01030,GUJGASLTD,nan,Gujarat Gas,Gas,LPG/CNG/PNG/LNG Supplier
INE09KD01013,ATAM,nan,Atam Valves,Industrial Manufacturing,Industrial Products
INE409B01013,SWELECTES,nan,Swelect Energy,Electrical Equipment,Heavy Electrical Equipment
INE111Q01021,PDSL,nan,PDS,Textiles & Apparels,Trading - Textile Products
INE090B01011,OMAXAUTO,nan,Omax Autos,Auto Components,Auto Components & Equipments
INE325C01035,DOLLAR,nan,Dollar Industrie,Textiles & Apparels,Garments & Apparels
INE417T01026,POLICYBZR,nan,PB Fintech.,Financial Technology (Fintech),Financial Technology (Fintech)
INE622W01025,ACMESOLAR,nan,ACME Solar Hold.,Power,Power Generation
INE06IR01021,OSIAHYPER,nan,Osia Hyper Reta.,Retailing,Diversified Retail
INE00Y201027,FLAIR,nan,Flair Writing,Household Products,Stationary
INE527H01019,UFO,nan,UFO Moviez,Entertainment,"Film Production, Distribution & Exhibition"
INE731U01028,DIGJAMLMTD,nan,Digjam,Textiles & Apparels,Other Textile Products
INE056I01025,REFEX,nan,Refex Industries,Chemicals & Petrochemicals,Industrial Gases
INE074B01023,PARACABLES,nan,Paramount Comm.,Industrial Products,Cables - Electricals
INE883A01011,MRF,nan,MRF,Auto Components,Tyres & Rubber Products
INE811K01011,PRESTIGE,nan,Prestige Estates,Realty,"Residential, Commercial Projects"
INE645W01026,AIRAN,nan,Airan,IT - Services,IT Enabled Services
INE694D01016,VADILALIND,nan,Vadilal Inds.,Food Products,Dairy Products
INE786W01010,RKEC,nan,RKEC Projects,Construction,Civil Construction
INE937A01023,SPMLINFRA,nan,SPML Infra,Construction,Civil Construction
INE128S01021,FIVESTAR,nan,Five-Star Bus.Fi,Finance,Non Banking Financial Company (NBFC)
INE385W01011,DCAL,nan,Dishman Carbogen,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE553C01016,NECCLTD,nan,North Eastn.Car.,Transport Services,Logistics Solution Provider
INE199P01028,GCSL,nan,Gretex Corporate,Capital Markets,Other Capital Market related Services
INE0PB301013,SCILAL,nan,Shipping Land,Finance,Investment Company
INE903U01023,SIGNATURE,nan,SignatureGlobal,Realty,"Residential, Commercial Projects"
INE010B01027,ZYDUSLIFE,nan,Zydus Lifesci.,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE391J01032,JTLIND,nan,JTL Industries,Industrial Products,Iron & Steel Products
INE019A01038,JSWSTEEL,nan,JSW Steel,Ferrous Metals,Iron & Steel
INE797F01020,JUBLFOOD,nan,Jubilant Food.,Leisure Services,Restaurants
INE0KBH01020,BLUEJET,nan,Blue Jet Health,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE513A01022,SCHAEFFLER,nan,Schaeffler India,Auto Components,Auto Components & Equipments
INE594B01012,BSL,nan,BSL,Textiles & Apparels,Other Textile Products
INE010601016,ENTERO,nan,Entero Healthcar,Retailing,Pharmacy Retail
INE0KL801015,DCXINDIA,nan,DCX Systems,Aerospace & Defense,Aerospace & Defense
INE665A01038,SWANCORP,nan,Swan Corp,Chemicals & Petrochemicals,Petrochemicals
INE1B0W01010,ADVANCE,nan,Advance Agrolife,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INE00WC01027,AFFLE,nan,Affle 3i,IT - Services,IT Enabled Services
INE121E01018,JSWENERGY,nan,JSW Energy,Power,Power Generation
INE933X01016,SHANTI,nan,Shanti Overseas,Agricultural Food & other Products,Edible Oil
INE486A01021,CESC,nan,CESC,Power,Integrated Power Utilities
INE427F01016,CHALET,nan,Chalet Hotels,Leisure Services,Hotels & Resorts
INE759A01021,MASTEK,nan,Mastek,IT - Software,Computers - Software & Consulting
INE505A01010,DMCC,nan,DMCC Speciality,Chemicals & Petrochemicals,Specialty Chemicals
INE217B01036,KAJARIACER,nan,Kajaria Ceramics,Consumer Durables,Ceramics
INE220G01021,JSL,nan,Jindal Stain.,Ferrous Metals,Iron & Steel
INE0GV601021,ALLTIME,nan,All Time Plastic,Consumer Durables,Houseware
INE489L01022,IIFLCAPS,nan,IIFL Capital,Capital Markets,Stockbroking & Allied
INE632C01026,VIDHIING,nan,Vidhi Specialty,Chemicals & Petrochemicals,Specialty Chemicals
INE0OAF01028,JNKINDIA,nan,JNK,Industrial Manufacturing,Industrial Products
INE055A01016,ABREL,nan,A B Real Estate,"Paper, Forest & Jute Products",Paper & Paper Products
INE356A01018,MPHASIS,nan,Mphasis,IT - Software,Computers - Software & Consulting
INE600K01018,GALAXYSURF,nan,Galaxy Surfact.,Chemicals & Petrochemicals,Specialty Chemicals
INE06ZD01017,SHANTIGOLD,nan,Shanti Gold,Consumer Durables,"Gems, Jewellery And Watches"
INE201P01022,GRINFRA,nan,G R Infraproject,Construction,Civil Construction
INE963C01033,FAZE3Q,nan,Faze Three,Textiles & Apparels,Other Textile Products
INE188A01015,FACT,nan,F A C T,Fertilizers & Agrochemicals,Fertilizers
INE0QRL01017,ARKADE,nan,Arkade,Realty,"Residential, Commercial Projects"
INE397D01024,BHARTIARTL,nan,Bharti Airtel,Telecom - Services,Telecom - Cellular & Fixed line services
INE001B01026,KRBL,nan,KRBL,Agricultural Food & other Products,Other Agricultural Products
INE087Z01024,AAKASH,nan,Aakash Explor.,Oil,Offshore Support Solution Drilling
INE256Z01025,AKSHAR,nan,Akshar Spintex,Textiles & Apparels,Other Textile Products
INE04VU01023,STYL,nan,Seshaasai Tech.,Financial Technology (Fintech),Financial Technology (Fintech)
INE602G01020,KITEX,nan,Kitex Garments,Textiles & Apparels,Garments & Apparels
INE086A01029,ELECTCAST,nan,Electrost.Cast.,Industrial Products,Iron & Steel Products
INE450U01017,ROUTE,nan,Route Mobile,Telecom - Services,Other Telecom Services
INE398R01022,SYNGENE,nan,Syngene Intl.,Healthcare Services,"Healthcare Research, Analytics & Technology"
INE358U01012,ZOTA,nan,Zota Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE218G01033,PALREDTEC,nan,Palred Technolog,IT - Services,IT Enabled Services
INE050001010,PPL,nan,Prakash Pipes,Industrial Products,Plastic Products - Industrial
INE924D01017,THEINVEST,nan,The Invest.Trust,Finance,Other Financial Services
INE051B01021,VAKRANGEE,nan,Vakrangee,IT - Services,IT Enabled Services
INE331A01037,RAMCOCEM,nan,The Ramco Cement,Cement & Cement Products,Cement & Cement Products
INE335Y01020,IRCTC,nan,I R C T C,Leisure Services,"Tour, Travel Related Services"
INE888C01040,SADHNANIQ,nan,Sadhana Nitro,Chemicals & Petrochemicals,Commodity Chemicals
INE812G01025,SMSPHARMA,nan,SMS Pharma.,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE613C01026,MCLOUD,nan,Magellanic Cloud,IT - Software,Computers - Software & Consulting
INE153T01027,BLS,nan,BLS Internat.,Leisure Services,"Tour, Travel Related Services"
INE032Z01020,BSHSL,nan,Bombay Super Hyb,Agricultural Food & other Products,Other Agricultural Products
INE247M01014,SPECIALITY,nan,Speciality Rest.,Leisure Services,Restaurants
INE039O01029,JASH,nan,Jash Engineering,Industrial Manufacturing,Industrial Products
INE270I01022,VISHNU,nan,Vishnu Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE364A01020,JAYSREETEA,nan,Jay Shree Tea,Agricultural Food & other Products,Tea & Coffee
INE560K01014,PFS,nan,PTC India Fin,Finance,Non Banking Financial Company (NBFC)
INE619I01012,A2ZINFRA,nan,A2Z Infra Engg.,Construction,Civil Construction
INE386D01027,SBCL,nan,Shivalik Bimetal,Industrial Products,Iron & Steel Products
INE461C01038,GREENPLY,nan,Greenply Industr,Consumer Durables,Plywood Boards/ Laminates
INE717W01049,GANDHAR,nan,Gandhar Oil Ref.,Petroleum Products,Lubricants
INE129A01019,GAIL,nan,GAIL (India),Gas,Gas Transmission/Marketing
INE0R6Z01013,SRM,nan,SRM Contractors,Construction,Civil Construction
INE0LXT01019,REDTAPE,nan,Redtape,Consumer Durables,Footwear
INE728Z01015,SOFTTECH,nan,Softtech Enginee,IT - Software,Computers - Software & Consulting
INE01FR01028,STYLEBAAZA,nan,Baazar Style,Retailing,Speciality Retail
INE789E01012,JKPAPER,nan,JK Paper,"Paper, Forest & Jute Products",Paper & Paper Products
INE01A001028,STANLEY,nan,Stanley Lifesty.,Consumer Durables,"Furniture, Home Furnishing"
INE542B01011,AKSHARCHEM,nan,AksharChem (I),Chemicals & Petrochemicals,Dyes And Pigments
INE367G01038,PFOCUS,nan,Prime Focus,Entertainment,Media & Entertainment
INE510W01014,INOXGREEN,nan,Inox Green,Power,Power Generation
INE089C01029,STLTECH,nan,Sterlite Tech.,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
INE183A01024,FINPIPE,nan,Finolex Inds.,Industrial Products,Plastic Products - Industrial
INE0MWH01014,TRUALT,nan,TruAlt Bioenergy,Agricultural Food & other Products,Other Agricultural Products
INE299U01018,CROMPTON,nan,Crompton Gr. Con,Consumer Durables,Household Appliances
INE634S01028,MANKIND,nan,Mankind Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE0GFE01026,EXXARO,nan,Exxaro Tiles,Consumer Durables,Ceramics
INE964H01014,SEPC,nan,SEPC,Construction,Civil Construction
INE350H01032,BLKASHYAP,nan,B.L.Kashyap,Construction,Civil Construction
INE803D01021,INDOBORAX,nan,Indo Borax & Ch.,Chemicals & Petrochemicals,Commodity Chemicals
INE830C01026,EMAMIPAP,nan,Emami Paper,"Paper, Forest & Jute Products",Paper & Paper Products
INE0N2P01017,RISHABH,nan,Rishabh Instrum.,Electrical Equipment,Other Electrical Equipment
INE955D01029,GENUSPOWER,nan,Genus Power,Electrical Equipment,Other Electrical Equipment
INE616N01034,INOXINDIA,nan,Inox India,Industrial Products,Other Industrial Products
INE070D01027,JAICORPLTD,nan,Jai Corp,Industrial Products,Plastic Products - Industrial
INE00LM01029,SONAMLTD,nan,Sonam,Consumer Durables,Consumer Electronics
INE0CZ201020,ANTHEM,nan,Anthem Bioscienc,Pharmaceuticals & Biotechnology,Biotechnology
INE670X01014,LASA,nan,Lasa Supergeneri,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE01IU01018,SKYGOLD,nan,Sky Gold & Diam.,Consumer Durables,"Gems, Jewellery And Watches"
INE932X01026,SHAREINDIA,nan,Share India Sec.,Capital Markets,Stockbroking & Allied
INE00E101023,BIKAJI,nan,Bikaji Foods,Food Products,Packaged Foods
INE810G01011,SHYAMMETL,nan,Shyam Metalics,Industrial Products,Iron & Steel Products
INE950I01011,DBCORP,nan,D B Corp,Media,Print Media
INE500L01026,SHK,nan,S H Kelkar & Co.,Chemicals & Petrochemicals,Specialty Chemicals
INE229A01017,ONWARDTEC,nan,Onward Technolog,IT - Services,IT Enabled Services
INE907A01026,KSL,nan,Kalyani Steels,Industrial Products,Iron & Steel Products
INE0Q3J01015,KRN,nan,KRN Heat Exchan,Industrial Products,Other Industrial Products
INE437B01014,KAKATCEM,nan,Kakatiya Cement,Cement & Cement Products,Cement & Cement Products
INE809I01019,ONMOBILE,nan,OnMobile Global,Media,Web based media and service
INE955V01021,ARVINDFASN,nan,Arvind Fashions.,Retailing,Speciality Retail
INE392B01011,PNC,nan,Prit Nandy Comm.,Entertainment,"Film Production, Distribution & Exhibition"
INE052I01032,CAMLINFINE,nan,Camlin Fine,Chemicals & Petrochemicals,Specialty Chemicals
INE884A01027,VAIBHAVGBL,nan,Vaibhav Global,Consumer Durables,"Gems, Jewellery And Watches"
INE298G01035,AJMERA,nan,Ajmera Realty,Realty,"Residential, Commercial Projects"
INE369A01029,EXCELINDUS,nan,Excel Industries,Chemicals & Petrochemicals,Specialty Chemicals
INE691Z01023,GANGAFORGE,nan,Ganga Forging,Industrial Products,Castings & Forgings
INE498A01018,DCM,nan,DCM,IT - Services,IT Enabled Services
INE916U01025,SFL,nan,Sheela Foam,Consumer Durables,"Furniture, Home Furnishing"
INE061F01013,FORTIS,nan,Fortis Health.,Healthcare Services,Hospital
INE293B01029,HAVISHA,nan,Sri Havisha,Leisure Services,Hotels & Resorts
INE737W01013,AKASH,nan,Akash InfraProj.,Construction,Civil Construction
INE650L01011,BROOKS,nan,Brooks Lab.,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE076B01028,SIYSIL,nan,Siyaram Silk,Textiles & Apparels,Other Textile Products
INE467B01029,TCS,nan,TCS,IT - Software,Computers - Software & Consulting
INE002A01018,RELIANCE,nan,Reliance Industries,Petroleum Products,Refineries & Marketing
INE08KP01019,DCMNVL,nan,DCM Nouvelle,Textiles & Apparels,Other Textile Products
INE064C01022,TRIDENT,nan,Trident,Textiles & Apparels,Other Textile Products
INE849A01020,TRENT,nan,Trent,Retailing,Speciality Retail
INE074A01025,PRAJIND,nan,Praj Industries,Industrial Manufacturing,Industrial Products
INE0H5O01029,WINDLAS,nan,Windlas Biotech,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE07RO01027,SUPRIYA,nan,Supriya Lifesci.,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE250B01029,VINYLINDIA,nan,Vinyl Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
INE205A01025,VEDL,nan,Vedanta,Diversified Metals,Diversified Metals
INE201A01024,MANALIPETC,nan,Manali Petrochem,Chemicals & Petrochemicals,Petrochemicals
INE08ZM01014,GREENPANEL,nan,Greenpanel Inds.,Consumer Durables,Plywood Boards/ Laminates
INE294B01019,SMLMAH,nan,SML Mahindra,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
INE389C01015,MALLCOM,nan,Mallcom (India),Industrial Products,Other Industrial Products
INE068L01024,CANTABIL,nan,Cantabil Retail,Textiles & Apparels,Garments & Apparels
INE0PKD01011,MEIL,nan,Mangal Electrica,Electrical Equipment,Other Electrical Equipment
INE544A01019,HARRMALAYA,nan,Harri. Malayalam,Industrial Products,Rubber
INE878I01022,BAFNAPH,nan,Bafna Pharma.,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE741L01018,DUCON,nan,Ducon Tech,Industrial Manufacturing,Industrial Products
INE260B01028,GODFRYPHLP,nan,Godfrey Phillips,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
INE918Z01012,KAYNES,nan,Kaynes Tech,Industrial Manufacturing,Industrial Products
INE879I01012,DBREALTY,nan,Valor Estate,Leisure Services,Hotels & Resorts
INE351Y01019,BETA,nan,Beta Drugs Ltd,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE01EO01010,SPECTRUM,nan,Spectrum Electr.,Industrial Manufacturing,Industrial Products
INE0KNT01012,MVGJL,nan,Manoj Vaibhav,Consumer Durables,"Gems, Jewellery And Watches"
INE0QN801017,KRYSTAL,nan,Krystal Integrat,Commercial Services & Supplies,Diversified Commercial Services
INE076C01018,IFBAGRO,nan,IFB Agro Inds.,Beverages,Breweries & Distilleries
INE0CAZ01013,URBANCO,nan,Urban Company,Retailing,E-Retail/ E-Commerce
INE304A01026,MUKANDLTD,nan,Mukand,Ferrous Metals,Iron & Steel
INE672B01032,MUNJALAU,nan,Munjal Auto Inds,Auto Components,Auto Components & Equipments
INE152M01016,TRITURBINE,nan,Triveni Turbine,Electrical Equipment,Heavy Electrical Equipment
INE256C01024,TRIVENI,nan,Triven.Engg.Ind.,Agricultural Food & other Products,Sugar
INE09E501017,RVHL,nan,Ravinder Heights,Realty,"Residential, Commercial Projects"
INE00FF01025,ACUTAAS,nan,Acutaas Chemical,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE376G01013,BIOCON,nan,Biocon,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE085A01013,CHAMBLFERT,nan,Chambal Fert.,Fertilizers & Agrochemicals,Fertilizers
INE430N01022,VISHWARAJ,nan,Vishwaraj Sugar,Agricultural Food & other Products,Sugar
INE935N01020,DIXON,nan,Dixon Technolog.,Consumer Durables,Consumer Electronics
INE406A01037,AUROPHARMA,nan,Aurobindo Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE147A01011,SPIC,nan,S P I C,Fertilizers & Agrochemicals,Fertilizers
INE822C01015,TCPLPACK,nan,TCPL Packaging,Industrial Products,Packaging
INE007A01025,CRISIL,nan,CRISIL,Finance,Other Financial Services
INE0MLS01022,EPACKPEB,nan,EPack PrefabTech,Industrial Manufacturing,Industrial Products
INE643K01018,ARIHANTSUP,nan,Arihant Super.,Realty,"Residential, Commercial Projects"
INE671A01010,HONAUT,nan,Honeywell Auto,Industrial Manufacturing,Industrial Products
INE922K01024,INDIASHLTR,nan,INDIA SHELTE FIN,Finance,Housing Finance Company
INE050M01012,VSSL,nan,Vardhman Special,Industrial Products,Iron & Steel Products
INE094A01015,HINDPETRO,nan,H P C L,Petroleum Products,Refineries & Marketing
INE460C01014,GANESHHOU,nan,Ganesh Housing,Realty,"Residential, Commercial Projects"
INE08LI01020,KRSNAA,nan,Krsnaa Diagnost.,Healthcare Services,Healthcare Service Provider
INE0ATZ01017,KRONOX,nan,Kronox Lab,Chemicals & Petrochemicals,Specialty Chemicals
INE056801025,IVALUE,nan,Ivalue Infosolut,IT - Services,IT Enabled Services
INE575C01027,INTLCONV,nan,Intl. Conveyors,Industrial Manufacturing,Industrial Products
INE189B01011,STYRENIX,nan,Styrenix Perfor.,Chemicals & Petrochemicals,Specialty Chemicals
INE087B01017,ANIKINDS,nan,Anik Industries,Commercial Services & Supplies,Trading & Distributors
INE848A01014,IZMO,nan,IZMO,IT - Services,IT Enabled Services
INE144J01027,20MICRONS,nan,20 Microns,Minerals & Mining,Industrial Minerals
INE715B01021,ANDHRSUGAR,nan,Andhra Sugars,Chemicals & Petrochemicals,Commodity Chemicals
INE0ALI01010,ADVAIT,nan,Advait Energy,Industrial Products,Cables - Electricals
INE495C01010,SANGAMIND,nan,Sangam India,Textiles & Apparels,Other Textile Products
INE0LRU01027,AARTIPHARM,nan,Aarti Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE216P01012,AAVAS,nan,AAVAS Financiers,Finance,Housing Finance Company
INE847C01020,ROSSELLIND,nan,Rossell India,Agricultural Food & other Products,Tea & Coffee
INE109A01011,SCI,nan,S C I,Transport Services,Shipping
INE0OPA01019,DBEIL,nan,Deepak Builders,Construction,Civil Construction
INE596I01020,CAMS,nan,Cams Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
INE393A01011,DELTAMAGNT,nan,Delta Manufact.,Industrial Products,Other Industrial Products
INE287B01021,SUBROS,nan,Subros,Industrial Products,Other Industrial Products
INE358A01014,ABBOTINDIA,nan,Abbott India,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE010V01017,LTTS,nan,L&T Technology,IT - Services,IT Enabled Services
INE583V01021,RADHIKAJWE,nan,Radhika Jeweltec,Consumer Durables,"Gems, Jewellery And Watches"
INE700A01033,JUBLPHARMA,nan,Jubilant Pharmo,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE018A01030,LT,nan,Larsen & Toubro,Construction,Civil Construction
INE242A01010,IOC,nan,I O C L,Petroleum Products,Refineries & Marketing
INE00M901018,INTERARCH,nan,Interarch Build.,Construction,Civil Construction
INE834M01019,RTNINDIA,nan,RattanIndia Ent,Retailing,E-Retail/ E-Commerce
INE474Q01031,MEDANTA,nan,Global Health,Healthcare Services,Hospital
INE552Z01027,ABDL,nan,Allied Blenders,Beverages,Breweries & Distilleries
INE423Y01016,SBFC,nan,SBFC Finance,Finance,Non Banking Financial Company (NBFC)
INE823G01014,JKCEMENT,nan,J K Cements,Cement & Cement Products,Cement & Cement Products
INE205B01031,ELECON,nan,Elecon Engg.Co,Electrical Equipment,Heavy Electrical Equipment
INE576I01022,JKIL,nan,J Kumar Infra,Construction,Civil Construction
INE438K01021,KALAMANDIR,nan,Sai Silks,Retailing,Speciality Retail
INE520Y01019,ICEMAKE,nan,ICE Make Refrig.,Industrial Manufacturing,Industrial Products
INE203A01020,ASTRAZEN,nan,Astrazeneca Phar,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE09EO01013,AARTISURF,nan,Aarti Surfactant,Chemicals & Petrochemicals,Specialty Chemicals
INE110B01017,MINDTECK,nan,Mindteck (India),IT - Software,Computers - Software & Consulting
INE917M01012,DBL,nan,Dilip Buildcon,Construction,Civil Construction
INE156A01020,INDORAMA,nan,Indo Rama Synth.,Textiles & Apparels,Other Textile Products
INE043C01018,IVP,nan,IVP,Chemicals & Petrochemicals,Specialty Chemicals
INE880L01014,KIOCL,nan,KIOCL,Ferrous Metals,Sponge Iron
INE603A01013,PRAKASH,nan,Prakash Industri,Ferrous Metals,Iron & Steel
INE572A01036,JBCHEPHARM,nan,J B Chemicals &,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE231F01020,SASKEN,nan,Sasken Technol.,IT - Services,IT Enabled Services
INE151G01028,SHAILY,nan,Shaily Engineer.,Industrial Products,Plastic Products - Industrial
INE531A01024,KANSAINER,nan,Kansai Nerolac,Consumer Durables,Paints
INE435A01051,ANDHRAPAP,nan,Andhra Paper,"Paper, Forest & Jute Products",Paper & Paper Products
INE305A01023,TFCILTD,nan,Tour. Fin. Corp.,Finance,Financial Institution
INE271B01025,MAHSEAMLES,nan,Mah. Seamless,Industrial Products,Iron & Steel Products
INE136S01016,NEOGEN,nan,Neogen Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE622H01018,INDOFARM,nan,Indo Farm Equip.,"Agricultural, Commercial & Construction Vehicles",Tractors
INE320J01015,RITES,nan,Rites,Construction,Civil Construction
INE908V01012,LIBAS,nan,Libas Consumer,Textiles & Apparels,Garments & Apparels
INE542Z01028,KAPSTON,nan,Kapston Services,Commercial Services & Supplies,Diversified Commercial Services
INE429E01023,SAFARI,nan,Safari Inds.,Consumer Durables,Plastic Products - Consumer
INE943D01017,MPSLTD,nan,MPS,Other Consumer Services,E-Learning
INE893I01013,VASCONEQ,nan,Vascon Engineers,Realty,"Residential, Commercial Projects"
INE670A01012,TATAELXSI,nan,Tata Elxsi,IT - Software,Computers - Software & Consulting
INE414D01027,BHAGCHEM,nan,Bhagiradha Chem.,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INE692B01014,MURUDCERA,nan,Murudesh.Ceramic,Consumer Durables,Ceramics
INE048G01026,NAVINFLUOR,nan,Navin Fluo.Intl.,Chemicals & Petrochemicals,Specialty Chemicals
INE048B01035,JAGSNPHARM,nan,Jagsonpal Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE738I01010,ECLERX,nan,eClerx Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
INE420B01036,ARIHANTCAP,nan,Arihant Capital,Capital Markets,Stockbroking & Allied
INE04AK01028,SBC,nan,SBC Exports,Textiles & Apparels,Garments & Apparels
INE388Y01029,NYKAA,nan,FSN E-Commerce,Retailing,E-Retail/ E-Commerce
INE570L01029,SAILIFE,nan,Sai Life,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE732S01012,SAKAR,nan,Sakar Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE0TY101024,SOLARWORLD,nan,Solarworld Ene.,Construction,Civil Construction
INE05CZ01011,RATNAVEER,nan,Ratnaveer Precis,Industrial Products,Iron & Steel Products
INE0B9K01025,BANSALWIRE,nan,Bansal Wire Inds,Industrial Products,Iron & Steel Products
INE480C01038,SDBL,nan,Som Distilleries,Beverages,Breweries & Distilleries
INE210C01013,AROGRANITE,nan,Aro Granite Inds,Consumer Durables,Granites & Marbles
INE04I401011,KPITTECH,nan,KPIT Technologi.,IT - Software,Computers - Software & Consulting
INE951D01028,ATULAUTO,nan,Atul Auto,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
INE980Y01015,SOUTHWEST,nan,South West Pinn.,Commercial Services & Supplies,Diversified Commercial Services
INE266F01018,APTECHT,nan,Aptech,Other Consumer Services,Education
INE713T01028,APOLLO,nan,Apollo Micro Sys,Aerospace & Defense,Aerospace & Defense
INE021A01026,ASIANPAINT,nan,Asian Paints,Consumer Durables,Paints
INE323J01019,SOMICONVEY,nan,Somi Conv.Belt.,Industrial Manufacturing,Industrial Products
